Terrorist_Organization,Min_Year,Max_Year,Min_Month,Max_Month,Min_Day,Max_Day,Number_Of_Attacks,Number_Of_Deaths
Revolutionary Committee of Mozambique (COREMO),1971,1971,1,1,15,15,1,1
Tony El Pelou Band,1971,1971,1,1,28,28,2,0
Movement of the Revolutionary Left (MIR) (Venezuela),1971,1971,2,2,11,11,1,0
Official Irish Republican Army (OIRA),1971,1979,1,12,2,31,40,47
Catalan Liberation Front (FAC),1971,1979,2,11,2,28,15,2
Secret Cuban Government,1971,1973,3,12,0,30,8,0
Students,1971,1996,1,12,4,30,18,3
RYF,1971,1971,4,4,6,6,1,0
Black Revolutionary Assault Team,1971,1971,4,9,12,20,3,0
Left-wing extremists,1971,2017,1,12,1,28,23,22
People's Revolutionary Party,1971,1971,5,5,1,1,1,0
Chicano Radicals,1971,1974,2,6,0,24,10,0
Students for a Democratic Society,1971,1971,5,10,7,31,2,0
Regulators,1971,1971,5,5,9,9,1,0
Revolutionary Communist League (LCR) (Spain),1971,1971,7,7,0,29,2,0
Black September,1971,1976,1,12,0,30,118,77
Al-Fatah,1971,2009,1,12,1,29,52,87
Anti-Communist extremists,1971,1984,4,10,6,29,2,2
Iranian extremists,1971,1991,1,10,6,25,5,2
Sons of Liberty,1971,1971,11,12,15,15,2,0
Puerto Rican Liberation Front,1971,1971,11,12,22,22,2,0
Jewish Armed Resistance,1971,1982,1,12,2,29,19,2
Comrades in Arms,1971,1971,12,12,20,20,1,0
Secret Army Organization,1972,1972,1,6,6,19,2,0
2nd of June Movement,1972,1981,2,11,2,27,10,5
Red Hand Commandos,1972,1995,2,12,2,31,10,10
People's Liberation Army (United States),1972,1972,2,2,16,16,1,0
Jordanian National Liberation Movement,1972,1972,2,2,19,19,1,0
Ulster Freedom Fighters (UFF),1972,2017,1,12,1,31,258,201
Young Cuba,1972,1972,3,4,4,29,2,1
Turkish Leftists,1972,1996,1,5,3,11,9,0
Mujahedin-e Khalq (MEK),1972,2001,1,12,0,31,103,516
National Front for the Liberation of Cuba (FLNC),1972,1976,3,12,3,30,21,2
OPR-33,1972,1972,7,7,28,28,1,0
Puerto Rican Revolutionary Movement,1972,1972,8,8,17,18,5,0
Popular Revolutionary Resistance Group,1972,1972,8,8,29,29,1,0
"Masada, Action and Defense Movement",1972,1972,10,10,4,4,1,0
National Liberation Army of Colombia (ELN),1972,2018,0,12,0,31,1616,1773
National Integration Front (FIN),1972,1975,3,12,4,29,4,0
"Resistance, Liberation and Independence Organization (AAA)",1972,1972,12,12,7,7,1,0
Republic of New Afrika,1972,1973,1,12,7,31,2,10
Red June of 14 June,1973,1973,1,1,2,2,1,0
Black Muslims,1973,1980,1,12,4,29,6,17
Coalition of National Brigades,1973,1973,1,1,23,23,1,0
Armenians,1973,1984,1,7,3,31,7,7
International Revolutionary Action Group (GARI),1973,1977,1,10,3,28,19,0
Black December,1973,1973,2,5,1,20,2,2
American Indian Movement,1973,1975,2,10,13,27,6,2
Iberian Liberation Movement (MIL),1973,1974,1,12,2,31,4,1
Greek Anti-Dictatorial Youth (EAN),1973,1973,3,3,22,22,1,0
Front for Armenian Liberation,1973,1973,4,4,4,4,1,0
Shan Insurgents,1973,1988,2,4,3,16,3,5
National Youth Resistance Organization,1973,1973,4,4,21,21,1,0
Revolutionary Patriotic Anti-Fascist Front (FRAP),1973,1978,2,9,1,22,21,7
Revolutionary Student Front,1973,1973,5,10,4,10,3,1
Zero Point,1973,1973,5,5,18,18,1,0
Armed Proletarian Nuclei (NAP),1973,1978,1,12,1,31,29,7
Red Cell,1973,1978,4,10,0,31,5,0
Proletarian Action Group,1973,1985,5,10,3,5,2,0
Lebanese Socialist Revolutionary Organization,1973,1974,3,10,8,21,4,4
Zebra killers,1973,1974,1,12,1,29,20,15
Armenian Group,1973,1990,4,10,12,26,3,0
Symbionese Liberation Army (SLA),1973,1975,2,11,4,31,7,2
Revolutionary Cells,1973,1992,1,12,0,31,49,1
Red Flag (Venezuela),1973,1996,1,12,0,29,22,47
Revolutionary Peoples Army,1973,1973,12,12,4,26,2,0
Red Brigades,1974,1990,1,12,0,31,205,69
Muslim Guerrillas,1974,1996,1,12,2,27,12,73
Breton Liberation Front (FLB),1974,2014,1,10,2,30,31,5
People's Resistance Organized Army,1974,1974,2,2,23,23,1,2
Americans for Justice,1974,1974,3,3,7,9,2,0
People's Liberation Army (Mexico),1974,1974,3,3,22,22,1,1
Corsican National Liberation Front (FLNC),1974,2012,1,12,0,31,615,13
Secret Organization Zero,1974,1975,4,10,13,31,2,2
Justice Guerrillas,1974,1974,4,4,17,17,1,0
National Liberation Front of Chad,1974,1974,4,4,21,21,1,0
People's Revolutionary Army (ERP) (El Salvador),1974,1979,2,12,1,30,47,47
Democratic Front for the Liberation of Palestine (DFLP),1974,2014,1,12,1,31,40,61
Black Order,1974,1983,5,12,4,28,6,21
Organization of the Sons of Occupied Territories,1974,1979,5,12,5,29,2,0
Popular Resistance Sabotage Group,1974,1974,6,6,2,12,2,0
Fuerzas Armadas de Liberacion Nacional (FALN),1974,1982,1,12,1,31,110,7
Anti-Government extremists,1974,2018,2,12,0,30,71,269
Krause Group,1974,1974,6,6,18,18,1,0
South Moluccans,1974,1978,1,12,0,23,7,14
M-7,1974,1974,7,8,6,26,2,0
Arab Communist Organization,1974,1975,1,12,10,31,10,1
Korean Youth League,1974,1974,8,8,15,15,1,1
Condor,1974,1977,3,9,19,28,2,0
M12J,1974,1974,9,9,27,27,1,0
Argentine Anticommunist Alliance (AAA),1974,1978,1,12,0,30,14,55
Protestant Action Group,1974,1975,6,11,8,19,5,6
Red Flag,1974,1974,11,11,7,7,1,1
Cuban C-4 Movement,1974,1974,11,11,9,9,1,0
Maruseido (Marxist Youth League),1974,1974,11,11,14,22,2,0
23rd of September Communist League,1974,1980,1,12,2,31,36,72
Revolutionary Vanguard,1974,1975,4,11,9,21,2,0
Latin America Anti-Communist Army (LAACA),1974,1978,2,12,5,8,4,0
Youth Action Group,1974,1976,10,12,15,25,6,0
Raul Sendic International Brigade,1974,1974,12,12,19,19,1,1
First of October Antifascist Resistance Group (GRAPO),1975,2000,1,12,0,31,202,86
Ananda Marga,1975,1978,1,2,2,7,2,4
Maskini Liberation Front,1975,1975,2,4,0,11,3,27
Omega-7,1975,1983,1,12,1,30,51,4
Continental Revolutionary Army,1975,1975,2,12,3,23,2,0
National Socialist Liberation Front,1975,1975,2,2,4,4,1,0
Prisoner  Gourgen Yanikian Group,1975,1975,2,2,7,7,1,0
National Awami Party,1975,1975,2,2,8,8,1,1
Armenian Secret Army for the Liberation of Armenia,1975,1997,0,12,0,31,133,61
Movement for Cuban Justice (Pragmatistas),1975,1975,2,2,21,21,1,1
Irish National Liberation Army (INLA),1975,2018,1,12,0,31,123,108
National Organization of Cypriot Fighters (EOKA),1975,1999,3,12,0,14,5,3
Canary Islands Independence Movement,1975,1980,1,12,0,31,32,0
Sixth of March Group,1975,1975,3,3,6,6,1,0
Mahir Cayan Suicide Group,1975,1975,3,3,10,10,1,0
Front for the Liberation of the French Somali Coast,1975,1976,2,3,3,25,3,1
Red Guerilla Family,1975,1976,1,7,4,27,5,0
Revolutionary Armed Forces of Colombia (FARC),1975,2016,1,12,0,31,2370,5661
Jewish Extremists,1975,2018,1,12,0,30,30,8
Charles Martel Group,1975,1978,1,4,10,10,2,0
Phalange,1975,1982,4,12,12,28,5,27
East Asia Anti Japanese Armed Front,1975,1976,3,4,2,19,2,2
Socialist Patients' Collective (SPK),1975,1975,4,4,24,24,1,3
People's Liberation Army (Northern Ireland),1975,1975,4,4,28,28,1,1
Meinhof-Puig-Antich Group,1975,1975,5,5,3,22,3,0
Popular Liberation Army (EPL),1975,2018,1,12,0,31,247,518
The Scorpion,1975,1975,5,5,10,10,2,0
People's Revolutionary Party (Tanzania),1975,1975,5,5,19,19,1,0
Nationalist Intervention Group,1975,1975,5,6,5,19,3,0
George Jackson Brigade,1975,1977,1,12,1,31,20,1
Anti-Terrorism ETA (ATE),1975,1978,3,10,0,20,5,1
Movement of the Revolutionary Left (MIR) (Peru),1975,1988,4,11,2,29,7,2
Tribal Thumb,1975,1975,6,6,8,8,1,2
Okinawa Liberation League,1975,1975,7,7,23,23,1,0
Liberation Tigers of Tamil Eelam (LTTE),1975,2010,1,12,0,31,1586,10989
Fronte Paesanu Corsu di Liberazione (FPCL),1975,1975,7,7,30,30,1,0
South-West Africa People's Organization (SWAPO),1975,1988,1,12,0,31,56,96
Soldiers of the Algerian Opposition,1975,1975,8,8,18,18,3,0
Communist Party of Malaysia- Marxist-Leninist,1975,1975,8,8,25,25,1,0
Moro National Liberation Front (MNLF),1975,2017,1,12,0,31,188,623
Republican Action Force,1975,1977,1,9,1,30,6,24
Supporters of Charles Manson,1975,1975,9,9,5,5,1,0
Revolutionary Internationalist Solidarity,1975,1975,9,9,11,11,3,0
Army for Freeing Scotland,1975,1975,9,9,12,23,3,0
Military Liberation Front of Colombia,1975,1975,9,9,27,27,1,0
United Freedom Front (UFF),1975,1984,1,12,2,29,29,0
Armed Nucleus for Popular Autonomy,1975,1978,1,10,8,23,6,1
Youth of the Star,1975,1975,10,10,20,20,1,0
Justice Commandos for the Armenian Genocide,1975,1984,1,12,2,29,44,34
Guerrilla Army of the Poor (EGP),1975,1994,1,12,1,31,110,579
Portuguese Liberation Army,1975,1975,12,12,10,10,1,0
League of the 18,1975,1975,12,12,29,29,1,0
International Revolutionary Solidarity,1976,1988,2,6,5,25,3,0
Coup plotters,1976,1991,2,10,13,13,2,43
M-19 (Movement of April 19),1976,1997,1,12,0,31,448,1323
Revolutionary Command,1976,1976,2,2,21,21,1,0
Revolutionary People's Struggle (ELA),1976,1995,1,12,1,31,88,2
Armed Communist Struggle,1976,1977,3,9,1,23,3,0
Armed Communist Formations,1976,1978,4,7,14,27,5,0
Portuguese Anti-Communist Movement,1976,1976,4,4,22,22,1,2
Continuous Struggle,1976,1976,4,4,26,26,1,0
Tigray Peoples Liberation Front (TPLF),1976,2016,2,11,0,26,9,318
Combat Territory Groups,1976,1976,5,5,12,12,2,0
Save Our Israel Land,1976,1976,5,10,16,24,3,0
Muslim Rebels,1976,2003,1,12,0,31,46,409
Commando Heinz Neumann,1976,1976,6,6,1,1,1,1
Proletarian Resistance Movement,1976,1976,6,6,4,4,1,0
Socialist Labor Party of Lebanon,1976,1976,6,6,16,16,1,3
Political Military Organization of Paraguay,1976,1976,6,6,26,26,1,0
Armed Forces of National Resistance (FARN),1976,1979,1,12,1,30,38,18
Fred Hampton Unit of the People's Forces,1976,1976,7,7,1,2,4,0
Revolutionary Workers Party of Bolivia (PRTB),1976,1980,2,8,6,30,3,0
Italian Social Movement (MSI),1976,1979,1,12,0,30,17,10
Coordination of the United Revolutionary Organization (CORU),1976,1977,7,12,6,31,9,75
Movement of the Revolutionary Left (MIR) (Chile),1976,1994,1,12,0,30,185,45
Che Guevara Brigade,1976,1990,2,10,6,30,13,0
Cypriot,1976,1976,7,7,26,26,1,0
Prolitarian Internationalism,1976,1976,8,8,16,16,1,0
Anti-Castro Command,1976,1977,8,12,18,23,3,0
Union Guerrera Blanca (UGB),1976,1980,2,10,4,26,14,18
Croatian Freedom Fighters,1976,1980,3,12,3,17,5,1
Brazilian Anti-Communist Alliance (AAB),1976,1976,9,9,22,22,1,0
Anti-Zionist Commandos,1976,1976,9,9,25,25,3,0
Abu Nidal Organization (ANO),1976,1998,1,12,0,30,50,278
Cuban Secret Army,1976,1976,9,9,30,30,1,0
Polisario Front,1976,2018,1,12,0,27,17,220
Rezi Rezai International Brigades,1976,1976,11,11,2,2,1,0
Commandos Against Self Destruction of the Universe,1976,1976,11,11,13,13,1,0
Workers Power,1976,1976,11,11,15,15,1,0
Communist Fighting Unit,1976,1980,1,12,1,31,11,1
Prima Linea,1976,1981,1,12,1,30,51,16
African National Congress (South Africa),1976,1996,1,12,0,31,560,636
Independent Armed Revolutionary Commandos (CRIA),1976,1977,1,12,1,31,19,0
May 19 Communist Order,1976,1985,1,12,2,28,20,1
Communist Brigade Dante Dimani,1976,1976,12,12,8,8,1,0
November 17 Revolutionary Organization (N17RO),1976,2001,1,12,1,31,112,26
Communists,1976,2018,1,12,0,30,80,215
Organization of Anti-Fascist Students,1976,1976,12,12,15,15,1,0
Waltraud Boock Group,1976,1977,1,12,17,22,2,1
Kurdish Democratic Party-Iraq (KDP),1976,2016,1,12,13,30,9,65
Black Cells,1976,1976,12,12,20,20,1,0
Military Council for the True Liberation of Albania,1976,1976,12,12,23,23,1,0
AGEL,1976,1976,12,12,24,24,1,0
Basque Rectitudes,1977,1977,0,11,0,23,6,0
Armed Proletarian Power,1977,1983,1,1,1,28,6,1
Lolita Lebron Puerto Rican Liberation Command,1977,1977,1,1,3,3,1,0
New Partisans Movement,1977,1977,1,8,11,21,2,0
Front for the Liberation of the Enclave of Cabinda (FLEC),1977,2010,1,12,1,24,15,23
Anti-Government Group,1977,2010,1,12,3,28,23,16
Arya,1977,1984,1,8,23,24,2,18
Revolutionary Workers Party,1977,1985,1,10,1,31,10,4
Falangist Security Group,1977,1977,2,2,3,3,1,0
New Order,1977,1984,2,12,6,23,2,15
Armed Struggle for Communism,1977,1977,2,10,9,11,4,0
Communist Brigades,1977,1977,2,2,12,12,1,0
Armed Squads for Communism,1977,1979,1,4,7,26,3,0
Anti-Abortion extremists,1977,2018,1,12,0,31,231,8
Communist Combat Unit,1977,1977,2,2,24,24,1,0
African-American extremists,1977,1977,3,3,7,7,1,0
Hanafi Muslims,1977,1977,3,3,9,9,1,1
Combat Brigades,1977,1977,3,3,12,12,1,1
Front For the Liberation of the Azores,1977,1979,1,5,16,29,6,0
Somali Guerrillas,1977,1992,3,11,24,27,2,1
Marxist-Leninist Armed Propaganda Unit,1977,1980,1,12,3,30,6,8
Revolutionary Action,1977,1977,3,10,18,31,6,0
Soviet and Cuban-backed rebels/mercenaries,1977,1977,4,4,1,1,1,1
Falange,1977,1977,4,4,8,8,1,0
Revolutionary Commandos of Solidarity,1977,1977,4,4,11,11,3,0
Action Front for the Liberation of the Baltic Countries,1977,1977,4,4,12,12,2,0
Committee for the Defense of Italian Workers in France,1977,1977,4,4,13,13,1,0
People's Liberation Forces (FPL),1977,1979,1,12,0,31,145,124
Rote Zora,1977,1995,4,7,17,29,2,0
Environmental Life Force,1977,1977,5,8,1,1,2,0
Fighters for Communism,1977,1977,5,10,18,19,2,0
Luis Boitel Commandos,1977,1977,5,9,7,27,9,0
28 May Armenian Organization,1977,1977,5,5,29,29,2,5
Kentavros,1977,1977,5,5,30,30,1,0
Sanidila Secessionist Movement,1977,1978,6,10,0,19,2,0
Communist Fighters Group,1977,1977,6,6,2,2,1,0
Armed Brigades,1977,1977,6,6,6,6,1,0
Gay Liberation Front,1977,1977,6,10,2,7,2,0
Communist Progress,1977,1977,6,6,16,16,2,0
Solidarist Resistance Movement,1977,1977,6,6,17,17,2,0
Pattani United Liberation Organization (PULO),1977,2016,1,12,2,30,48,34
Red Guerrilla,1977,1979,5,6,12,26,7,0
Fighting Workers for Communism,1977,1977,6,6,27,27,1,0
Armed Communist Nucleus,1977,1977,6,7,5,29,4,0
Communist Fighting Nuclei,1977,1977,7,7,8,17,2,0
Armed Radical Groups for Communism,1977,1977,7,7,12,12,1,0
Armed Groups for Communism,1977,1977,7,7,12,12,1,0
Worker Counterpower,1977,1977,7,7,14,14,1,0
Proletarian Patrols,1977,1980,1,10,1,30,10,1
Pedro Leon Arboleda (PLA),1977,1980,6,9,1,20,7,0
Armed Proletarian Groups for Communism,1977,1978,5,10,4,24,4,0
Vyborg Brigade,1977,1977,8,8,15,15,1,0
Avengers of Peiper Group,1977,1977,8,8,18,18,1,0
Territorial Communist Units,1977,1977,8,8,28,28,1,0
Proletarian Fighting Brigades,1977,1977,9,9,13,13,1,0
Union of the People (UDP),1977,1978,1,9,0,13,20,1
Revolutionary Action Front,1977,1977,9,9,17,19,2,0
Tonino Micciche Workers Nucleus,1977,1977,9,9,21,21,1,0
Organized Proletarian Communists,1977,1977,10,10,3,29,2,0
Nucleus of the Armed Struggle,1977,1977,10,10,3,3,1,0
Commando Adolph Hitler,1977,1977,10,12,5,30,6,0
Universal Liberation Front,1977,1977,10,10,5,10,2,0
Young Brigade of Navarro,1977,1977,10,10,5,5,1,0
Revolutionary Commandos of the People (CRP),1977,1980,2,10,1,26,13,2
Red Army Faction (RAF),1977,1991,1,12,0,31,65,16
Armed Fighting Nucleus For Communism,1977,1977,10,10,15,15,1,0
Armed Struggle for Proletarian Power,1977,1977,10,10,18,18,1,0
Armed Communist Commando,1977,1977,10,10,19,19,1,0
Fighting Nucleus for Communism,1977,1977,10,10,19,19,1,0
Communist Armed Nucleus,1977,1977,10,10,20,20,1,0
Universal Proutist Revolutionary Federation,1977,1977,10,11,20,29,2,0
Fighting Communist Front,1977,1977,10,10,21,21,1,0
Breton Separatists,1977,1992,1,12,2,29,6,0
Combat Nucleus of Communist Unity,1977,1977,11,11,14,14,1,0
Fighting Proletarian Squads,1977,1977,11,12,6,26,13,0
Afar rebels,1977,1977,11,11,29,29,1,1
Free Aceh Movement (GAM),1977,2005,1,12,1,31,115,140
Greek National Socialist Organization,1977,1978,12,12,0,17,3,1
Delta Group,1977,1978,5,12,2,5,3,2
Armed Workers Squads,1977,1978,1,12,2,26,4,0
Armed Nucleus of Communist Workers,1977,1977,12,12,2,2,1,0
Proletarian Armed Squads,1977,1977,12,12,2,2,1,0
Armed Proletarian Patrols,1977,1977,12,12,4,4,1,0
Radical Communist Armed Nucleus,1977,1977,12,12,5,5,1,0
Armed Commandos in the Fighting Army of Mario Zichieri,1977,1977,12,12,8,8,2,0
Guerrillas of Christ the King,1977,1979,1,12,9,26,2,0
Confederation of Iranian Students/National Union (CISNU),1977,1977,12,12,9,9,1,0
Armed Fight for Communism,1977,1977,12,12,10,10,4,0
Khristos Kasimis,1977,1986,3,12,2,21,5,0
Communist Fighting Corunim- Maria Anna Maria,1977,1977,12,12,11,11,1,0
"Worker Autonomy, Continuous Struggle",1977,1977,12,12,12,12,2,0
Fighting Popular Rally,1977,1977,12,12,23,23,7,0
PORE,1977,1977,12,12,23,23,1,0
Christ Chaos,1977,1978,1,12,7,25,3,0
Committee of action against bull fights,1977,1977,12,12,28,28,1,0
28th of December Group,1977,1977,12,12,29,29,2,0
Armed Revolutionary Groups,1977,1977,12,12,30,30,1,0
Arab Revolutionary Army,1978,1978,1,2,1,15,8,0
International Communist Brigade,1978,1978,1,1,4,4,1,0
Armed Revolutionary Nuclei (NAR),1978,1988,1,12,2,31,18,95
Armed Nuclei for Territorial Counterpower,1978,1978,1,3,2,11,3,3
Southern Nucleus of Communist Counterpower,1978,1978,1,1,11,11,1,0
Iberian Anarchist Federation,1978,1978,1,1,12,15,3,4
Anti Shah of Iran,1978,1978,1,1,14,14,1,0
Breton Terrorist,1978,1978,1,1,15,15,1,0
Anti-Imperialist Fighters for a Free Palestine,1978,1978,1,1,19,19,1,0
Begumcans Cell,1978,1978,1,1,25,25,1,0
Argentine Youths for Sovereignty,1978,1978,1,1,26,26,1,0
Revolutionary Workers' Council (Kakurokyo),1978,2013,1,12,1,29,22,7
Popular Revolutionary Bloc (BPR),1978,1982,1,12,0,30,21,39
Revolutionary Communist Party,1978,1978,2,2,13,13,2,0
Jewish Committee of Concern,1978,1978,2,3,15,27,3,0
Anti-Castro Group,1978,1987,2,5,15,25,2,0
Communist Fighters Association,1978,1978,2,2,16,16,1,0
Armed Proletarian Squads,1978,1979,1,7,8,27,6,0
Anti-Israeli extremists,1978,2018,2,7,3,18,3,20
Aryan Brotherhood,1978,1978,2,2,20,25,2,0
Autonomous Students,1978,1978,2,2,24,24,1,0
Anti-Imperialistic Communist Revolutionaries,1978,1978,2,4,13,26,2,0
Communist Fighting Detachments,1978,1978,3,3,1,1,1,0
Fuerza Nueva,1978,1982,2,10,1,27,5,1
Armed Workers Nuclei,1978,1978,3,3,7,7,1,0
Armed Womens Nuclei,1978,1978,3,3,8,8,1,0
Armed Proletarian Group,1978,1978,3,3,10,10,1,0
Armed Fight for Workers Power,1978,1978,3,3,12,12,1,0
Fighting Women,1978,1978,3,3,15,15,1,0
Armed Nuclei for Communism,1978,1978,3,4,16,26,2,0
Commandos for the Defense of Western Civilization,1978,1978,3,3,18,18,1,0
Proletarian Nucleus,1978,1978,3,3,20,20,1,0
Marxist Resistance Movement,1978,1978,3,3,25,25,1,0
Trinitarians,1978,1978,3,3,26,26,1,3
Column 88,1978,1978,4,7,0,4,4,0
Independent Peasants Union,1978,1978,4,10,0,22,3,1
Red Tribune,1978,1978,4,4,5,5,1,0
Syndicalist Action Groups,1978,1978,4,4,6,6,2,0
Front for the National Liberation of Puerto Rico,1978,1978,4,4,14,14,3,0
Red Flying Squad,1978,1980,1,4,12,26,3,1
Communist Anti-Imperialistic Revolutionaries,1978,1978,4,4,26,26,1,0
Abstentionist Brigades,1978,1978,4,5,5,27,2,0
Falangist Vanguard,1978,1978,5,5,2,2,1,0
Unified Workers Command,1978,1978,5,5,2,2,1,0
Airport Protesters,1978,1978,5,5,7,7,1,0
Chukakuha (Middle Core Faction),1978,2000,1,11,1,31,59,2
Armed Proletarian Formations,1978,1978,5,5,15,15,1,0
Supporters of presidential candidate Belisario Bet,1978,1978,5,5,25,25,1,0
Revolutionary Army,1978,2015,4,5,26,28,2,0
Anti-Technology extremists,1978,1995,2,12,2,26,14,4
Front of French National Liberation,1978,1978,6,6,12,12,1,0
Zimbabwe African People's Union,1978,1983,1,12,1,27,12,143
Revolutionary Anarchist Armed Terrorist Movement,1978,1978,7,7,6,6,1,0
Death Squad,1978,2001,1,12,1,31,325,813
Anti-Imperialist Students Council,1978,1978,8,8,3,3,1,0
Brigadas Rojas,1978,1978,8,8,8,8,1,0
Ahmad Jibril,1978,1978,8,8,13,13,1,98
Macheteros,1978,1998,1,12,1,31,36,6
Khmer Rouge,1978,1998,1,12,0,31,153,361
Peruvian Anti-Communist Alliance (AAP),1978,1978,9,9,3,3,1,0
Zimbabwe People's Army (ZIPA),1978,1979,9,12,18,26,2,0
Guatemalan Labor Party (PGT),1978,1990,2,12,1,29,18,11
Otpor,1978,2000,5,11,13,28,3,3
International Anti-Communist Intelligence Service,1978,1978,10,10,0,0,1,1
Right-Wing Group,1978,2002,2,12,0,29,18,18
Red Guard,1978,1978,10,12,9,16,3,0
Red Resistance Front,1978,1978,10,10,9,9,1,0
Idealist Association,1978,1979,2,10,14,23,3,1
Secret Anti-Communist Army (ESA),1978,1989,3,12,5,28,18,11
United Popular Action Front (FAPU),1978,1980,1,12,4,31,11,13
National Union for the Total Independence of Angola (UNITA),1978,2017,1,12,0,30,420,2726
Proletarian Combatants for Communism,1978,1978,11,11,1,1,2,0
Muslims,1978,2001,1,12,0,30,44,387
People's Armed Revolutionary Branch,1978,1978,11,11,8,8,1,0
New Jewish Defense League,1978,1978,11,12,6,18,4,0
Communist Attack Brigades,1978,1978,11,11,13,13,1,0
Farabundo Marti National Liberation Front (FMLN),1978,1994,1,12,0,31,2564,8065
People's Temple,1978,1978,11,11,18,18,1,5
