,Terrorist_Org,Year,Num_Wounded,Num_Killed,Num_Attacks
147,Action Directe,1983,0.0,0.0,3
148,Action Directe,1984,12.0,0.0,7
149,Action Directe,1985,0.0,1.0,13
150,Action Directe,1986,49.0,4.0,13
151,Action Directe,1989,0.0,1.0,1
152,Action Front Nationalist Librium,1992,0.0,0.0,1
153,Action Front for the Liberation of the Baltic Countries,1977,0.0,0.0,2
154,Action Group for Communism,1978,0.0,0.0,1
155,Action Group for the Destruction of the Police State,1991,0.0,2.0,1
156,Action Squad,1980,0.0,0.0,1
157,Action Struggle Against the World,1985,0.0,0.0,1
158,Active Espirit de Corps of the Argentina Army,1987,0.0,0.0,1
159,Activists,1997,20.0,3.0,4
160,Adan Abyan Islamic Army (AAIA),1999,12.0,2.0,1
161,Adan Abyan Islamic Army (AAIA),2003,7.0,0.0,1
162,Adan-Abyan Province of the Islamic State,2015,18.0,33.0,12
163,Adan-Abyan Province of the Islamic State,2016,299.0,337.0,31
164,Adan-Abyan Province of the Islamic State,2017,77.0,72.0,4
165,Adan-Abyan Province of the Islamic State,2018,70.0,27.0,3
166,Adivasi Cobra Militants of Assam (ACMA),2011,0.0,0.0,1
167,Adivasi National Liberation Army (ANLA),2007,5.0,5.0,2
168,Adivasi National Liberation Army (ANLA),2008,0.0,1.0,2
169,Adivasi National Liberation Army (ANLA),2012,0.0,0.0,1
170,Adivasi National Liberation Army (ANLA),2014,0.0,0.0,1
171,Adivasi People's Army (APA),2011,101.0,0.0,2
172,Adivasi People's Army (APA),2013,0.0,0.0,1
173,Afar Revolutionary Democratic Unity Front,2007,0.0,0.0,1
174,Afar Revolutionary Democratic Unity Front,2012,0.0,5.0,1
175,Afar Revolutionary Democratic Unity Front,2017,1.0,1.0,1
176,Afar rebels,1977,1.0,1.0,1
177,Afghan Guerrillas,1991,35.0,29.0,6
178,Afghan Guerrillas,1994,0.0,3.0,2
179,Afghan Merceneries,1995,0.0,7.0,1
180,Afghan Mujahideen,1987,2.0,0.0,1
181,Afghan Mujahideen,1991,19.0,11.0,5
182,Afghan Mujahideen,1992,0.0,1.0,1
183,Afghan Rebels,1980,0.0,0.0,1
184,Afghan Rebels,1988,13.0,27.0,2
185,Afghan Revolutionary Front,2008,0.0,0.0,1
186,Afghan War Veterans,1994,0.0,0.0,1
187,Afghans,1980,0.0,0.0,1
188,Afghans,1986,5.0,1.0,1
189,Afghans,1995,100.0,42.0,1
190,Afghans,2001,25.0,0.0,1
191,Africa Marine Commando,2010,2.0,5.0,3
192,Africa Marine Commando,2011,0.0,2.0,2
193,African National Congress (South Africa),1976,0.0,2.0,1
194,African National Congress (South Africa),1977,3.0,3.0,6
195,African National Congress (South Africa),1978,3.0,5.0,7
196,African National Congress (South Africa),1979,23.0,6.0,13
197,African National Congress (South Africa),1980,31.0,16.0,17
198,African National Congress (South Africa),1981,17.0,4.0,30
199,African National Congress (South Africa),1982,4.0,8.0,22
200,African National Congress (South Africa),1983,315.0,26.0,45
201,African National Congress (South Africa),1984,46.0,17.0,38
202,African National Congress (South Africa),1985,183.0,50.0,68
203,African National Congress (South Africa),1986,224.0,89.0,84
204,African National Congress (South Africa),1987,280.0,106.0,95
205,African National Congress (South Africa),1988,259.0,73.0,113
206,African National Congress (South Africa),1989,30.0,14.0,33
207,African National Congress (South Africa),1990,0.0,0.0,3
208,African National Congress (South Africa),1991,37.0,80.0,8
209,African National Congress (South Africa),1992,43.0,55.0,11
210,African National Congress (South Africa),1994,195.0,81.0,11
211,African National Congress (South Africa),1996,3.0,1.0,2
212,African-American extremists,1977,0.0,0.0,1
213,Afridi Tribe,1996,0.0,1.0,1
214,Afrikaner Resistance Movement (AWB),1988,16.0,3.0,1
215,Afrikaner Resistance Movement (AWB),1991,36.0,3.0,1
216,Afrikaner Resistance Movement (AWB),1994,1.0,0.0,3
217,Afrikaner Resistance Movement (AWB),1996,80.0,4.0,1
218,Afrin Falcons,2018,33.0,11.0,3
219,"Aghwar ""Fire War"" Group",1981,0.0,0.0,1
220,Agudat Israel Party,1992,1.0,0.0,1
221,Agwelek Forces,2016,0.0,56.0,1
222,Ahfad al-Sahaba-Aknaf Bayt al-Maqdis,2016,0.0,0.0,2
223,Ahle Sunnat Wal Jamaat (ASWJ-Pakistan),2015,0.0,3.0,2
224,Ahle Sunnat Wal Jamaat (ASWJ-Pakistan),2017,0.0,0.0,1
225,Ahle Sunnat Wal Jamaat (ASWJ-Pakistan),2018,1.0,1.0,1
226,Ahlu-sunah Wal-jamea (Somalia),2008,0.0,15.0,2
227,Ahlu-sunah Wal-jamea (Somalia),2009,0.0,0.0,1
228,Ahlu-sunah Wal-jamea (Somalia),2012,0.0,0.0,1
229,Ahlu-sunah Wal-jamea (Somalia),2015,0.0,10.0,6
230,Ahlu-sunah Wal-jamea (Somalia),2016,2.0,1.0,3
231,Ahmad Alawi al Muqbili,1985,0.0,0.0,1
232,Ahmad Jibril,1978,160.0,98.0,1
233,Ahmad Luebaesa Group,2016,1.0,1.0,1
234,Ahneish Militia,2017,0.0,0.0,3
235,Ahrar Al-Jalil (Free People of the Galilee),2008,46.0,4.0,2
236,Ahrar Al-Jalil (Free People of the Galilee),2009,0.0,2.0,1
237,Ahrar Al-Jalil (Free People of the Galilee),2010,12.0,2.0,1
238,Ahrar al-Sham,2013,19.0,4.0,2
239,Ahrar al-Sham,2015,0.0,41.0,11
240,Ahrar al-Sham,2016,78.0,29.0,12
241,Ahrar al-Sham,2017,0.0,61.0,2
242,Ahrar al-Sham,2018,0.0,0.0,1
243,Aibed Er-Rahman katibet,2006,3.0,0.0,1
244,Aidid Militia,1992,0.0,0.0,1
245,Air and Azawak Liberation Front,1992,0.0,3.0,3
246,Airport Protesters,1978,50.0,0.0,2
247,Aisha Umm-al Mouemeneen (Brigades of Aisha),2013,300.0,30.0,1
248,Aitarak Militia,1999,1.0,1.0,2
249,Ajnad Misr,2014,60.0,7.0,22
250,Ajnad Misr,2015,34.0,4.0,10
251,Ajnad al-Sham,2016,13.0,2.0,1
252,Akali Dal Party,1982,0.0,5.0,1
253,Akali Dal Party,1985,12.0,0.0,1
254,Akhil Terai Mukti Morcha (ATMM),2008,1.0,1.0,1
255,Akhil Terai Mukti Morcha (ATMM),2009,0.0,1.0,1
256,Akhil Terai Mukti Morcha (ATMM),2010,4.0,0.0,3
257,Akhil Terai Mukti Morcha (ATMM),2011,0.0,2.0,2
258,Akhil Terai Mukti Morcha (ATMM),2012,0.0,0.0,3
259,Akhil Terai Mukti Morcha (ATMM),2013,25.0,0.0,2
260,Akhil Terai Mukti Morcha (ATMM),2015,0.0,0.0,1
261,Akhil Terai Mukti Morcha (ATMM),2016,0.0,1.0,1
262,Akhil Terai Mukti Morcha (ATMM),2017,0.0,0.0,1
263,Akhilesh Singh Gang,2000,3.0,5.0,1
264,Al Bayda Province of the Islamic State,2016,0.0,1.0,1
265,Al Bayda Province of the Islamic State,2017,8.0,4.0,1
266,Al Zawahiri Loyalists,2004,0.0,0.0,1
267,Al-Adl Wal Ihsane,1991,0.0,3.0,3
268,Al-Adl Wal Ihsane,1994,0.0,0.0,1
269,Al-Adl Wal Ihsane,1996,12.0,0.0,1
270,Al-Ahwaz Arab People's Democratic Front,2005,4.0,1.0,1
271,Al-Ahwaz Arab People's Democratic Front,2006,15.0,9.0,2
272,Al-Aqsa Martyrs Brigade,2000,1.0,1.0,1
273,Al-Aqsa Martyrs Brigade,2001,32.0,22.0,14
274,Al-Aqsa Martyrs Brigade,2002,582.0,135.0,43
275,Al-Aqsa Martyrs Brigade,2003,163.0,48.0,17
276,Al-Aqsa Martyrs Brigade,2004,178.0,27.0,12
277,Al-Aqsa Martyrs Brigade,2005,76.0,21.0,14
278,Al-Aqsa Martyrs Brigade,2006,0.0,5.0,14
279,Al-Aqsa Martyrs Brigade,2007,15.0,9.0,18
280,Al-Aqsa Martyrs Brigade,2008,5.0,7.0,18
281,Al-Aqsa Martyrs Brigade,2009,1.0,1.0,2
282,Al-Aqsa Martyrs Brigade,2010,3.0,1.0,3
283,Al-Aqsa Martyrs Brigade,2013,1.0,3.0,5
284,Al-Aqsa Martyrs Brigade,2014,2.0,0.0,1
285,Al-Aqsa Martyrs Brigade,2015,16.0,7.0,7
286,Al-Aqsa Martyrs Brigade,2016,9.0,3.0,3
287,Al-Aqsa Martyrs Brigade,2018,0.0,0.0,3
288,Al-Aqsa-Group,1982,0.0,0.0,1
289,Al-Arifeen,2002,5.0,4.0,2
290,Al-Arifeen,2004,1.0,0.0,1
291,Al-Arifeen,2005,45.0,2.0,1
292,Al-Ashtar Brigades,2013,7.0,0.0,3
293,Al-Ashtar Brigades,2014,12.0,5.0,5
294,Al-Ashtar Brigades,2015,4.0,0.0,2
295,Al-Ashtar Brigades,2017,1.0,1.0,2
296,Al-Badr,2002,0.0,0.0,1
297,Al-Badr,2008,0.0,2.0,1
298,Al-Badr,2018,3.0,1.0,1
299,Al-Bakazim,2010,0.0,0.0,1
300,Al-Bakazim,2011,0.0,0.0,1
301,Al-Borkan Liberation Organization,1984,1.0,1.0,2
302,Al-Da'wah Party,1980,1.0,2.0,1
303,Al-Fajr,2007,0.0,1.0,1
304,Al-Faran,1995,0.0,1.0,2
305,Al-Faruo Battalion,1988,0.0,0.0,4
306,Al-Faruq Militia,2014,0.0,0.0,1
307,Al-Fatah,1971,0.0,0.0,1
308,Al-Fatah,1978,96.0,48.0,2
309,Al-Fatah,1979,0.0,4.0,2
310,Al-Fatah,1980,21.0,3.0,7
311,Al-Fatah,1982,0.0,1.0,2
312,Al-Fatah,1986,0.0,1.0,1
313,Al-Fatah,1988,0.0,8.0,3
314,Al-Fatah,1989,0.0,1.0,1
315,Al-Fatah,1990,15.0,4.0,2
316,Al-Fatah,1991,0.0,0.0,1
317,Al-Fatah,1992,51.0,3.0,6
318,Al-Fatah,2001,4.0,2.0,4
319,Al-Fatah,2005,2.0,1.0,1
320,Al-Fatah,2006,0.0,1.0,3
321,Al-Fatah,2007,14.0,10.0,15
322,Al-Fatah,2008,6.0,0.0,4
323,Al-Fatah,2009,2.0,0.0,1
324,Al-Fateh Al-Jadid,2016,0.0,0.0,1
325,Al-Fatihin Army (AFA),2008,3.0,0.0,1
326,Al-Furqan (Tunisia),2015,1.0,0.0,1
327,Al-Furqan Brigades,2013,2.0,0.0,2
328,Al-Furqan Brigades,2015,0.0,7.0,1
329,Al-Gama'at al-Islamiyya (IG),1991,0.0,2.0,1
330,Al-Gama'at al-Islamiyya (IG),1992,22.0,6.0,8
331,Al-Gama'at al-Islamiyya (IG),1994,93.0,134.0,102
332,Al-Gama'at al-Islamiyya (IG),1995,137.0,126.0,95
333,Al-Gama'at al-Islamiyya (IG),1996,56.0,76.0,36
334,Al-Gama'at al-Islamiyya (IG),1997,24.0,141.0,15
335,Al-Gama'at al-Islamiyya (IG),1998,15.0,7.0,2
336,Al-Hadid,1994,0.0,0.0,2
337,Al-Hamas Mujahideen,2001,0.0,0.0,1
338,Al-Haramayn Brigades,2003,2.0,0.0,2
339,Al-Haramayn Brigades,2004,145.0,5.0,1
340,Al-Haydariyah Battalion,2015,0.0,0.0,1
341,Al-Herak Al-Tihami Movement,2013,0.0,0.0,1
342,Al-Intiqami al-Pakistani,2002,24.0,9.0,2
343,Al-Islah Party,2014,9.0,25.0,4
344,Al-Islah Party,2017,1.0,1.0,1
345,Al-Islah Party,2018,0.0,0.0,2
346,Al-Ittihaad al-Islami (AIAI),1992,0.0,1.0,1
347,Al-Ittihaad al-Islami (AIAI),1996,0.0,3.0,1
348,Al-Ittihaad al-Islami (AIAI),1999,0.0,2.0,1
349,Al-Ittihaad al-Islami (AIAI),2004,1.0,2.0,1
350,Al-Ittihaad al-Islami (AIAI),2005,40.0,15.0,1
351,Al-Jehad,1994,0.0,1.0,2
352,Al-Jehad,1995,0.0,0.0,1
353,Al-Jihad (Pakistan),2014,0.0,0.0,1
354,Al-Jub Tribe,2009,0.0,0.0,1
355,Al-Khobar,2007,1.0,0.0,1
356,Al-Khobar,2009,6.0,0.0,2
357,Al-Khobar,2010,32.0,11.0,2
358,Al-Khobar,2012,1.0,0.0,2
359,Al-Khobar,2014,0.0,0.0,1
360,Al-Khobar,2015,18.0,0.0,1
361,Al-Khobar,2016,0.0,0.0,1
362,Al-Ma'unah,2000,0.0,2.0,2
363,Al-Madani Brigade,2014,0.0,0.0,1
364,Al-Madina,2002,0.0,4.0,3
365,Al-Madina,2008,24.0,0.0,1
366,Al-Mansoorian,2002,23.0,7.0,1
367,Al-Mansoorian,2003,7.0,5.0,2
368,Al-Mansoorian,2004,18.0,18.0,3
369,Al-Mansoorian,2005,43.0,22.0,7
370,Al-Mansoorian,2006,46.0,18.0,2
371,Al-Mansoorian,2007,15.0,2.0,2
372,Al-Marabitun Revolutionary Committee,1986,0.0,0.0,1
373,Al-Masni Tribe,1996,0.0,0.0,1
374,Al-Mua'qi'oon Biddam Brigade (Those who Sign with Blood),2013,8.0,69.0,1
375,Al-Mua'qi'oon Biddam Brigade (Those who Sign with Blood),2014,7.0,2.0,2
376,Al-Mua'qi'oon Biddam Brigade (Those who Sign with Blood),2015,38.0,46.0,8
377,Al-Mujahedin Brigades (Palestine),2008,0.0,0.0,1
378,Al-Mus'abi Tribe,2014,0.0,0.0,1
379,Al-Naqshabandiya Army,2012,3.0,2.0,1
380,Al-Naqshabandiya Army,2014,100.0,148.0,23
381,Al-Naqshabandiya Army,2015,70.0,15.0,11
382,Al-Nasir Army (Syria),2016,0.0,0.0,3
383,Al-Nasireen Group,2005,36.0,8.0,2
384,Al-Nasireen Group,2013,2.0,2.0,1
385,Al-Nasirin (India),2002,7.0,0.0,1
386,Al-Nasirin (India),2009,1.0,0.0,1
387,Al-Nawaz,1999,10.0,2.0,1
388,Al-Nusrah Front,2012,961.0,304.0,25
389,Al-Nusrah Front,2013,218.0,694.0,39
390,Al-Nusrah Front,2014,447.0,767.0,74
391,Al-Nusrah Front,2015,268.0,924.0,73
392,Al-Nusrah Front,2016,355.0,264.0,60
393,Al-Nusrah Front,2017,32.0,24.0,5
394,Al-Qaida,1992,6.0,3.0,2
395,Al-Qaida,1998,4085.0,235.0,2
396,Al-Qaida,2000,38.0,19.0,2
397,Al-Qaida,2001,21872.0,3004.0,5
398,Al-Qaida,2002,294.0,100.0,14
399,Al-Qaida,2003,532.0,73.0,14
400,Al-Qaida,2004,1817.0,219.0,12
401,Al-Qaida,2005,836.0,85.0,10
402,Al-Qaida,2006,22.0,20.0,3
403,Al-Qaida,2007,161.0,63.0,4
404,Al-Qaida,2008,227.0,41.0,4
405,Al-Qaida,2010,0.0,0.0,1
406,Al-Qaida,2011,0.0,1.0,1
407,Al-Qaida Kurdish Battalions (AQKB),2007,11.0,19.0,1
408,Al-Qaida Kurdish Battalions (AQKB),2010,2.0,1.0,1
409,Al-Qaida Network for Southwestern Khulna Division,2006,1.0,0.0,2
410,Al-Qaida Organization for Jihad in Sweden,2005,0.0,0.0,1
411,Al-Qaida in Iraq,2003,35.0,7.0,1
412,Al-Qaida in Iraq,2004,31.0,69.0,6
413,Al-Qaida in Iraq,2005,1649.0,806.0,68
414,Al-Qaida in Iraq,2006,74.0,99.0,5
415,Al-Qaida in Iraq,2007,2190.0,871.0,41
416,Al-Qaida in Iraq,2008,760.0,416.0,42
417,Al-Qaida in Iraq,2009,782.0,258.0,22
418,Al-Qaida in Iraq,2010,559.0,222.0,36
419,Al-Qaida in Iraq,2011,687.0,257.0,31
420,Al-Qaida in Iraq,2012,2622.0,950.0,304
421,Al-Qaida in Iraq,2013,954.0,426.0,82
422,Al-Qaida in Lebanon,2006,1.0,0.0,1
423,Al-Qaida in Saudi Arabia,2003,126.0,55.0,6
424,Al-Qaida in Saudi Arabia,2004,115.0,18.0,2
425,Al-Qaida in Yemen,2005,0.0,12.0,1
426,Al-Qaida in Yemen,2007,0.0,9.0,1
427,Al-Qaida in Yemen,2008,30.0,20.0,8
428,Al-Qaida in Yemen,2009,5.0,8.0,2
429,Al-Qaida in the Arabian Peninsula (AQAP),2004,31.0,33.0,4
430,Al-Qaida in the Arabian Peninsula (AQAP),2006,8.0,4.0,1
431,Al-Qaida in the Arabian Peninsula (AQAP),2009,3.0,6.0,3
432,Al-Qaida in the Arabian Peninsula (AQAP),2010,120.0,178.0,48
433,Al-Qaida in the Arabian Peninsula (AQAP),2011,265.0,408.0,75
434,Al-Qaida in the Arabian Peninsula (AQAP),2012,739.0,964.0,199
435,Al-Qaida in the Arabian Peninsula (AQAP),2013,454.0,370.0,142
436,Al-Qaida in the Arabian Peninsula (AQAP),2014,815.0,877.0,291
437,Al-Qaida in the Arabian Peninsula (AQAP),2015,313.0,361.0,131
438,Al-Qaida in the Arabian Peninsula (AQAP),2016,208.0,193.0,82
439,Al-Qaida in the Arabian Peninsula (AQAP),2017,129.0,171.0,44
440,Al-Qaida in the Arabian Peninsula (AQAP),2018,45.0,66.0,21
441,Al-Qaida in the Indian Subcontinent,2013,1.0,2.0,1
442,Al-Qaida in the Indian Subcontinent,2014,1.0,1.0,1
443,Al-Qaida in the Indian Subcontinent,2015,3.0,3.0,5
444,Al-Qaida in the Indian Subcontinent,2016,3.0,4.0,7
445,Al-Qaida in the Indian Subcontinent,2017,4.0,2.0,3
446,Al-Qaida in the Islamic Maghreb (AQIM),2007,604.0,219.0,69
447,Al-Qaida in the Islamic Maghreb (AQIM),2008,206.0,162.0,47
448,Al-Qaida in the Islamic Maghreb (AQIM),2009,75.0,154.0,32
449,Al-Qaida in the Islamic Maghreb (AQIM),2010,70.0,39.0,17
450,Al-Qaida in the Islamic Maghreb (AQIM),2011,55.0,47.0,18
451,Al-Qaida in the Islamic Maghreb (AQIM),2012,5.0,4.0,9
452,Al-Qaida in the Islamic Maghreb (AQIM),2013,36.0,45.0,15
453,Al-Qaida in the Islamic Maghreb (AQIM),2014,34.0,31.0,15
454,Al-Qaida in the Islamic Maghreb (AQIM),2015,39.0,48.0,15
455,Al-Qaida in the Islamic Maghreb (AQIM),2016,88.0,76.0,24
456,Al-Qaida in the Islamic Maghreb (AQIM),2017,115.0,82.0,1
457,Al-Qaida in the Islamic Maghreb (AQIM),2018,2.0,10.0,2
458,Al-Qaqa Brigade,2014,0.0,1.0,4
459,Al-Sa'iqa,1984,0.0,1.0,1
460,Al-Sa'iqa,1988,0.0,0.0,1
461,Al-Saadawi Militia,2015,0.0,0.0,1
462,Al-Sadr Brigades,1984,0.0,0.0,3
463,Al-Sawaiq Brigade,2014,4.0,1.0,1
464,Al-Shabaab,2007,40.0,135.0,6
465,Al-Shabaab,2008,110.0,112.0,26
466,Al-Shabaab,2009,385.0,240.0,57
467,Al-Shabaab,2010,242.0,206.0,72
468,Al-Shabaab,2011,619.0,294.0,164
469,Al-Shabaab,2012,866.0,710.0,236
470,Al-Shabaab,2013,860.0,751.0,325
471,Al-Shabaab,2014,1042.0,1789.0,871
472,Al-Shabaab,2015,923.0,1639.0,399
473,Al-Shabaab,2016,1294.0,1564.0,564
474,Al-Shabaab,2017,1258.0,1888.0,572
475,Al-Shabaab,2018,784.0,1132.0,482
476,Al-Shabaab al-Mu'minin,2005,5.0,0.0,2
477,Al-Shabaab al-Mu'minin,2009,4.0,3.0,1
478,Al-Shabaab al-Mu'minin,2010,0.0,3.0,1
479,Al-Sham Legion,2015,0.0,1.0,3
480,Al-Sham Legion,2016,0.0,0.0,3
481,Al-Sham Legion,2018,0.0,0.0,1
482,Al-Shuda Brigade,2003,2.0,8.0,1
